Id_Equipo_Area;Nombre_Equipo_Area;Id_Equipo_Viceprecidencia 
CLS53000029;FUNDACION EPSA ;CLS80000002
CLS53000368;FACTURACION ;CLS80000004
CLS53000352;GESTION RECURSOS ME ;CLS80000006
CLS53000007;RELACIONAMIENTO Y DESARROLLO DE PROVEEDORES ;CLS80000005
CLS51000753;PLANEACION DISEÑO E INGENIERIA TYD ;CLS80000008
CLS53000314;OPERACION Y MANTENIMIENTO SUBESTACIONES ;CLS80000008
CLS53000295;MARCA PROPIA Y CANALES MASIVOS ;CLS80000004
CLS53000619;COMERCIALIZACION ENERGIA ENERBIT ;CLS80000022
CLS53000035;PROYECTO SAN ANDRES ;CLS80000006
CLS53000220;MANTENIMIENTO REDES ZONA ;CLS80000008
CLS53000430;CANAL PAP ;CLS80000004
CLS53000251;CONFIABILIDAD MEDICION ;CLS80000008
CLS53000062;VENTAS NUEVOS NEGOCIOS ;CLS80000009
CLS52000023;GERENCIA DMA ;CLS80000009
CLS53000340;SST PROCESOS DE NEGOCIO ;CLS80000007
CLS53000036;OBRAS CIVILES PROYECTOS ;CLS80000006
CLS51000727;TECNOLOGIA ;CLS80000007
CLS53000569;INTERVENTORIA TYD ;CLS80000008
CLS51000670;CIUDADES ;CLS80000004
CLS53000031;CRECIMIENTO RED Y MULTISERVICIOS ;CLS80000008
CLS53000391;GESTION SERVICIOS ;CLS80000007
CLS51000656;NEGOCIO REGULADO ;CLS80000003
CLS53000433;PROYECTO NIVEL DE TENSION 1 ;CLS80000008
CLS51000659;MANTENIMIENTO TYD Y CONTROL DE ENERGIA ;CLS80000008
CLS53000535;CENTRO DE OPERACIONES TECNOLOGIA ;CLS80000007
CLS53000235;REDES MTBT ;CLS80000008
CLS53000225;REDES MTBT ;CLS80000008
CLS51000661;PLANEACION DEL MANTENIMIENTO TYD ;CLS80000008
CLS53000390;GESTION TECNICA MECANICA CENTRALES ;CLS80000006
CLS51000854;GESTION DE ENERGIA Y PERDIDAS ;CLS80000008
CLS53000222;PERDIDAS DE ENERGIA ZONA ;CLS80000008
CLS51000883;PROTECCIONES Y TELECONTROL TYD ;CLS80000008
CLS53000431;INFORMACION TECNICA ;CLS80000008
CLS53000247;ANALISIS CONTABLE ;CLS80000005
CLS53000388;GESTION TECNICA CIVIL CENTRALES ;CLS80000006
CLS51000675;PROYECTO SAPIENCIA ;CLS80000005
CLS53000322;EXPERIENCIA DEL COLABORADOR ;CLS80000007
CLS53000020;PROYECTOS TECNOLOGIA ;CLS80000007
CLS53000451;OPERACION CANALES DE SERVICIO ;CLS80000007
CLS53000218;PERDIDAS DE ENERGIA ZONA ;CLS80000008
CLS53000237;CIENCIA DE DATOS ;CLS80000021
CLS53000426;MEDIDA CENTRALIZADA Y ESPECIAL REDUCCION DE PERDIDAS ;CLS80000008
CLS53000464;OPERACION Y MANTENIMIENTO TECNOLOGIA NEGOCIOS ;CLS80000007
CLS53000404;INFORMACION TECNICA Y GIS CORPORATIVO ;CLS80000008
CLS53000303;EXPERIENCIAS DE SERVICIO I ;CLS80000004
CLS53000219;PERDIDAS DE ENERGIA ZONA ;CLS80000008
CLS53000305;EXPERIENCIAS DE SERVICIO I ;CLS80000004
CLS53000555;VENTAS PAP INTERNET ;CLS80000007
CLS53000268;OPERACION DE LA MEDIDA ZONA ;CLS80000008
CLS53000271;CRECIMIENTO DE RED MTBT ;CLS80000008
CLS53000521;CONTACT CENTER INTERNET ;CLS80000007
CLS53000261;MANTENIMIENTO TYD ZONA ;CLS80000008
CLS53000190;DESARROLLO MODELOS DE SERVICIO ;CLS80000004
CLS53000040;MEDIDA CENTRALIZADA Y ESPECIAL REDUCCION DE PERDIDAS ;CLS80000008
CLS53000039;PROYECTO REDUCCION DE PERDIDAS ;CLS80000008
CLS51000858;PMO Y PROSPECTIVA DE NEGOCIO TYD ;CLS80000008
CLS53000230;CRECIMIENTO DE RED Y MULTISERVICIOS ZONA ;CLS80000008
CLS53000304;EXPERIENCIAS DE SERVICIO I ;CLS80000004
CLS53000332;UNIDAD FUNCIONAL TMSA ;CLS80000004
CLS53000506;GESTION DE APLICACIONES OPERACION TYD ;CLS80000008
CLS53000334;ASEGURAMIENTO DEL SERVICIO POSTVENTA ;CLS80000004
CLS53000410;PROTECCION Y TELECONTROL ZONA ;CLS80000008
CLS53000302;EXPERIENCIAS DE SERVICIO I ;CLS80000004
CLS53000425;PROYECTO TESORITO ;CLS80000006
CLS53000442;VENTAS ZONA ;CLS80000004
CLS51000899;PROYECTOS NUEVOS NEGOCIOS TYD ;CLS80000008
CLS53000452;LOGISTICA Y OPERACIONES RETAIL ;CLS80000005
CLS53000228;SUBESTACIONES ;CLS80000008
CLS53000226;REDES MTBT II ;CLS80000008
CLS53000039;PROYECTO REDUCCION DE PERDIDAS ZONA ;CLS80000008
CLS53000405;SUBESTACIONES ;CLS80000008
CLS53000432;INFORMACION TECNICA ;CLS80000008
CLS53000223;PERDIDAS DE ENERGIA ZONA ;CLS80000008
CLS53000551;EQUIPOS MECANICOS PROYECTOS ;CLS80000006
CLS53000470;PROYECTOS FOTOVOLTAICOS HN ;CLS80000009
CLS51000780;GESTION Y DESARROLLO PROVEEDORES ;CLS80000005
CLS53000086;NUEVOS NEGOCIOS PAIS ;CLS80000009
CLS53000461;OPERACION Y MANTENIMIENTO TECNOLOGIA ;CLS80000007
CLS53000012;LOGISTICA ;CLS80000005
CLS53000000;PROYECTO SAN ANDRES ;CLS80000006
CLS53000365;PERDIDAS DE ENERGIA ZONA ;CLS80000008
CLS51000843;PROTECCIONES E INSTRUMENTACION CENTRALES ;CLS80000006
CLS53000229;MANTENIMIENTO REDES ZONA ;CLS80000008
CLS53000274;MANTENIMIENTO REDES Y SUBESTACIONES ZONA ;CLS80000008
CLS53000543;VENTAS PAP INTERNET ;CLS80000007
CLS51000485;COMUNICACIONES Y CONTENIDOS ;CLS80000002
CLS53000094;MULTISERVICIOS ;CLS80000008
CLS53000256;TRANSACCIONES DE ENERGIA ;CLS80000008
CLS53000313;VENTAS ZONA NEGOCIO CIUDADES Y SECTOR PUBLICO ;CLS80000004
CLS53000224;SUBESTACIONES ;CLS80000008
CLS53000400;MANTENIMIENTO SUBESTACIONES ZONA ;CLS80000008
CLS53000259;PROTECCION Y TELECONTROL ZONA ;CLS80000008
CLS53000468;EJECUCION Y OPERACION DE PROYECTOS EFICIENCIA ENERGETICA ;CLS80000004
CLS53000389;GESTION TECNICA ELECTRICA CENTRALES ;CLS80000006
CLS53000549;GESTION RECURSOS CENTRAL TERMICA ;CLS80000006
CLS53000460;INGENIERIA TECNOLOGIA ;CLS80000007
CLS53000162;GESTION DOCUMENTAL ;CLS80000008
CLS53000363;REDES MTBT ;CLS80000008
CLS53000125;GERENCIA DE DISTRIBUCION TOLIMA ;CLS80000008
CLS53000208;SOCIAL PROYECTOS GENERACION ;CLS80000006
CLS53000245;DESARROLLO SOFTWARE ;CLS80000007
CLS53000439;CANAL DIGITAL ;CLS80000004
CLS53000349;OPERACION ;CLS80000008
CLS53000480;MEDICINA LABORAL ;CLS80000007
